Day/hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
207,20.22773333,24.64503333,11.45913333,7.848666667,1.288,0.2048,0,1.24,6.000666667,0.6752,0.6856,3.306666667,2.074666667,1.053333333,1.346666667,6.439333333,7.662,7.34,4.129333333,3.456,8.068,30.02063333,54.54213333,8.519733333
208,57.16143333,99.57266667,94.7313,63.61353333,60.11613333,40.54773333,46.91493333,51.70293333,60.65883333,39.72453333,28.58613333,31.90813333,18.68833333,7.064666667,1.205333333,0.6248,0.7664,2.853333333,4.810666667,4.633333333,10.52763333,94.69326667,6.145333333,0.6824
209,19.56553333,17.47573333,27.61973333,22.67873333,25.68693333,29.43173333,31.81753333,28.58613333,14.08803333,4.624,0.304,0.6552,1.154666667,0.688,0.212,0.364,0.4984,0.4984,0.6352,3.016,3.250666667,4.577333333,10.21713333,18.57653333
210,28.10293333,41.43813333,66.10593333,84.73013333,98.03476667,95.47023333,97.54576667,99.54866667,100,95.28006667,86.502,66.62853333,65.20143333,67.27173333,27.86133333,11.16243333,18.44753333,18.49053333,24.17693333,33.64463333,49.95573333,72.77913333,76.27266667,70.42743333
211,46.44453333,71.27163333,93.91086667,95.5137,97.7468,99.556,100,100,100,99.45066667,99.772,98.27383333,99.37133333,93.91086667,66.40743333,56.51823333,54.30693333,48.94773333,52.15653333,59.41263333,63.43263333,65.78433333,71.45253333,66.97023333
212,69.28173333,77.14946667,96.2798,98.86606667,99.73733333,100,100,100,100,100,100,100,100,100,100,99.736,98.55636667,97.65986667,94.8128,94.98666667,95.13336667,97.29583333,96.30153333,98.32816667
213,100,100,99.688,98.27926667,97.40993333,99.992,99.46133333,87.45186667,47.87253333,76.54666667,56.94033333,56.61873333,63.53313333,74.64843333,73.56303333,87.74413333,83.1592,82.7208,89.15066667,86.81253333,85.4608,89.58906667,92.9136,95.67126667
214,86.3376,53.53413333,60.65883333,64.75923333,94.90516667,100,100,100,100,100,100,100,100,99.60533333,95.58976667,89.79,54.15573333,30.15653333,28.34453333,28.69183333,30.62463333,33.70503333,45.26853333,60.49803333
215,59.09103333,65.82453333,99.25183333,99.37733333,99.874,99.52266667,98.0891,69.96513333,15.30853333,3.032,1.146666667,0.936,6.136,20.53733333,12.95643333,15.13653333,25.08293333,39.77493333,55.07973333,54.07173333,62.44773333,80.34613333,81.33253333,91.78106667
216,97.85546667,88.23733333,96.48083333,99.336,97.3067,99.366,99.484,99.726,100,100,99.802,99.42333333,98.2847,99.496,86.41066667,76.98506667,58.86993333,54.42453333,44.89893333,45.26853333,46.27653333,68.39733333,62.88993333,56.33733333
217,80.51053333,95.38873333,95.47023333,99.63933333,99.40333333,100,100,100,100,100,100,99.88333333,95.78536667,21.43173333,9.989433333,4.092,5.282,2.525333333,5.436,10.33443333,17.68213333,29.68843333,30.88133333,28.58613333
218,46.73013333,70.50783333,71.85453333,75.45243333,96.6221,97.31213333,99.35133333,81.5152,17.59613333,14.01213333,7.386666667,7.312,10.12743333,2.904,6.336666667,8.012,17.01133333,24.50913333,33.59933333,44.04213333,49.50213333,59.33223333,61.66383333,70.16613333
